Name,Importance_index,Page,IsChapter
Quadratic Programming,4,195,False
The Dual Problem,4,196,False
Kernelized SVM,4,197,False
Online SVMs,4,200,False
Exercises,3,201,False
Chapter 6. Decision Trees,2,203,True
Training and Visualizing a Decision Tree,3,203,False
Making Predictions,3,205,False
Estimating Class Probabilities,3,207,False
The CART Training Algorithm,3,208,False
Computational Complexity,3,209,False
Gini Impurity or Entropy?,3,209,False
Regularization Hyperparameters,3,210,False
Regression,3,211,False
Instability,3,214,False
Exercises,3,215,False
Chapter 7. Ensemble Learning and Random Forests,2,217,True
Voting Classifiers,3,218,False
Bagging and Pasting,3,221,False
Bagging and Pasting in Scikit-Learn,4,222,False
Out-of-Bag Evaluation,4,223,False
Random Patches and Random Subspaces,3,224,False
Random Forests,3,225,False
Extra-Trees,4,226,False
Feature Importance,4,226,False
Boosting,3,227,False
AdaBoost,4,228,False
Gradient Boosting,4,231,False
Stacking,3,236,False
Exercises,3,239,False
Chapter 8. Dimensionality Reduction,2,241,True
The Curse of Dimensionality,3,242,False
Main Approaches for Dimensionality Reduction,3,244,False
Projection,4,244,False
Manifold Learning,4,246,False
PCA,3,248,False
Preserving the Variance,4,248,False
Principal Components,4,249,False
Projecting Down to d Dimensions,4,250,False
Using Scikit-Learn,4,250,False
Explained Variance Ratio,4,251,False
Choosing the Right Number of Dimensions,4,251,False
PCA for Compression,4,252,False
Randomized PCA,4,253,False
Incremental PCA,4,253,False
Kernel PCA,3,254,False
Selecting a Kernel and Tuning Hyperparameters,4,255,False
LLE,3,258,False
Other Dimensionality Reduction Techniques,3,260,False
Exercises,3,261,False
Chapter 9. Unsupervised Learning Techniques,2,263,True
Clustering,3,264,False
K-Means,4,266,False
Limits of K-Means,4,276,False
Using clustering for image segmentation,4,277,False
Using Clustering for Preprocessing,4,278,False
Using Clustering for Semi-Supervised Learning,4,280,False
DBSCAN,4,282,False
Other Clustering Algorithms,4,285,False
Gaussian Mixtures,3,286,False
Anomaly Detection using Gaussian Mixtures,4,292,False
Selecting the Number of Clusters,4,293,False
Bayesian Gaussian Mixture Models,4,296,False
Other Anomaly Detection and Novelty Detection Algorithms,4,300,False
Part II. Neural Networks and Deep Learning,1,301,False
Chapter 10. Introduction to Artificial Neural Networks with Keras,2,303,True
From Biological to Artificial Neurons,3,304,False
Biological Neurons,4,305,False
Logical Computations with Neurons,4,307,False
The Perceptron,4,307,False
Multi-Layer Perceptron and Backpropagation,4,312,False
Regression MLPs,4,315,False
Classification MLPs,4,316,False
Implementing MLPs with Keras,3,318,False
Installing TensorFlow 2,4,319,False
Building an Image Classifier Using the Sequential API,4,320,False
Building a Regression MLP Using the Sequential API,4,329,False
Building Complex Models Using the Functional API,4,330,False
Building Dynamic Models Using the Subclassing API,4,335,False
Saving and Restoring a Model,4,337,False
Using Callbacks,4,337,False
Visualization Using TensorBoard,4,339,False
Fine-Tuning Neural Network Hyperparameters,3,341,False
Number of Hidden Layers,4,345,False
Number of Neurons per Hidden Layer,4,346,False
"Learning Rate, Batch Size and Other Hyperparameters",4,346,False
Exercises,3,348,False
Chapter 11. Training Deep Neural Networks,2,351,True
Vanishing/Exploding Gradients Problems,3,352,False
Glorot and He Initialization,4,353,False
Nonsaturating Activation Functions,4,355,False
Batch Normalization,4,359,False
Gradient Clipping,4,364,False
Reusing Pretrained Layers,3,365,False
Transfer Learning With Keras,4,367,False
Unsupervised Pretraining,4,369,False
Pretraining on an Auxiliary Task,4,370,False
Faster Optimizers,3,370,False
Momentum Optimization,4,371,False
Nesterov Accelerated Gradient,4,372,False
AdaGrad,4,373,False
RMSProp,4,375,False
Adam and Nadam Optimization,4,375,False
Learning Rate Scheduling,4,378,False
Avoiding Overfitting Through Regularization,3,382,False
ℓ1 and ℓ2 Regularization,4,382,False
Dropout,4,383,False
Monte-Carlo (MC) Dropout,4,386,False
Max-Norm Regularization,4,388,False
Summary and Practical Guidelines,3,389,False
Exercises,3,390,False
Chapter 12. Custom Models and Training with TensorFlow,2,393,True
A Quick Tour of TensorFlow,3,394,False
Using TensorFlow like NumPy,3,397,False
Tensors and Operations,4,397,False
Tensors and NumPy,4,399,False
Type Conversions,4,400,False
Variables,4,400,False
Other Data Structures,4,401,False
Customizing Models and Training Algorithms,3,402,False
Custom Loss Functions,4,402,False
Saving and Loading Models That Contain Custom Components,4,403,False
"Custom Activation Functions, Initializers, Regularizers, and Constraints",4,405,False
Custom Metrics,4,406,False
Custom Layers,4,409,False
Custom Models,4,412,False
Losses and Metrics Based on Model Internals,4,414,False
Computing Gradients Using Autodiff,4,415,False
Custom Training Loops,4,419,False
TensorFlow Functions and Graphs,3,422,False
Autograph and Tracing,4,424,False
TF Function Rules,4,426,False
Chapter 13. Loading and Preprocessing Data with TensorFlow,2,429,True
The Data API,3,430,False
Chaining Transformations,4,431,False
Shuffling the Data,4,432,False
Preprocessing the Data,4,435,False
Putting Everything Together,4,436,False
Prefetching,4,437,False
Using the Dataset With tf.keras,4,439,False
The TFRecord Format,3,440,False
Compressed TFRecord Files,4,441,False
A Brief Introduction to Protocol Buffers,4,441,False
TensorFlow Protobufs,4,442,False
Loading and Parsing Examples,4,444,False
Handling Lists of Lists Using the SequenceExample Protobuf,4,445,False
The Features API,3,446,False
Categorical Features,4,447,False
Crossed Categorical Features,4,447,False
Encoding Categorical Features Using One-Hot Vectors,4,448,False
Encoding Categorical Features Using Embeddings,4,449,False
Using Feature Columns for Parsing,4,452,False
Using Feature Columns in Your Models,4,452,False
TF Transform,3,454,False
The TensorFlow Datasets (TFDS) Project,3,455,False
Chapter 14. Deep Computer Vision Using Convolutional Neural Networks,2,457,True
The Architecture of the Visual Cortex,3,458,False
Convolutional Layer,3,460,False
Filters,4,462,False
Stacking Multiple Feature Maps,4,463,False
TensorFlow Implementation,4,465,False
Memory Requirements,4,467,False
Pooling Layer,3,468,False
TensorFlow Implementation,4,470,False
CNN Architectures,3,472,False
LeNet-5,4,475,False
AlexNet,4,476,False
GoogLeNet,4,478,False
VGGNet,4,482,False
ResNet,4,483,False
Xception,4,485,False
SENet,4,487,False
Implementing a ResNet-34 CNN Using Keras,3,490,False
Using Pretrained Models From Keras,3,491,False
Pretrained Models for Transfer Learning,3,493,False
Classification and Localization,3,495,False
Object Detection,3,497,False
Fully Convolutional Networks (FCNs),4,499,False
You Only Look Once (YOLO),4,501,False
Semantic Segmentation,3,504,False
Exercises,3,508,False
About the Author,1,510,False
Colophon,1,510,False
Front Cover,1,1,False
Machine Learning: A Bayesian and Optimization Perspective,1,4,False
Copyright ,1,5,False
Contents,1,6,False
Preface,1,18,False
Acknowledgments,1,20,False
Notation,1,22,False
Dedication ,1,24,False
Chapter 1: Introduction,1,26,True
1.1 What Machine Learning is About,2,26,False
1.1.1 Classification,3,27,False
1.1.2 Regression,3,28,False
1.2 Structure and a Road Map of the Book,2,30,False
References,2,33,False
Chapter 2: Probability and Stochastic Processes ,1,34,True
2.1 Introduction,2,35,False
2.2 Probability and Random Variables,2,35,False
2.2.1 Probability,3,36,False
Relative frequency definition,4,36,False
Axiomatic definition,4,36,False
2.2.2 Discrete Random Variables,3,37,False
Joint and conditional probabilities,4,37,False
Bayes theorem,4,38,False
2.2.3 Continuous Random Variables,3,39,False
2.2.4 Mean and Variance,3,40,False
Complex random variables,4,41,False
2.2.5 Transformation of Random Variables,3,42,False
2.3 Examples of Distributions,2,43,False
2.3.1 Discrete Variables,3,43,False
The Bernoulli distribution,4,43,False
The Binomial distribution,4,43,False
The Multinomial distribution,4,44,False
2.3.2 Continuous Variables,3,45,False
The uniform distribution,4,45,False
The Gaussian distribution,4,45,False
The central limit theorem,4,49,False
The exponential distribution,4,50,False
The beta distribution,4,50,False
The gamma distribution,4,51,False
The Dirichlet distribution,4,52,False
2.4 Stochastic Processes,2,54,False
2.4.1 First and Second Order Statistics,3,55,False
2.4.2 Stationarity and Ergodicity,3,55,False
2.4.3 Power Spectral Density,3,58,False
Properties of the autocorrelation sequence,4,58,False
Power spectral density,4,60,False
Transmission through a linear system,4,60,False
Physical interpretation of the PSD,4,62,False
2.4.4 Autoregressive Models,3,63,False
2.5 Information Theory,2,66,False
2.5.1 Discrete Random Variables,3,67,False
Information,4,67,False
Mutual and conditional information,4,68,False
Entropy and average mutual information,4,69,False
2.5.2 Continuous Random Variables,3,70,False
Average mutual information and conditional information,4,72,False
Relative entropy or Kullback-Leibler divergence,4,72,False
2.6 Stochastic Convergence,2,73,False
Convergence everywhere,3,73,False
Convergence almost everywhere,3,74,False
Convergence in the mean-square sense,3,74,False
Convergence in probability,3,74,False
Convergence in distribution,3,74,False
Problems,2,74,False
References,2,76,False
Chapter 3: Learning in Parametric Modeling: Basic Concepts and Directions ,1,78,True
3.1 Introduction,2,78,False
3.2 Parameter Estimation: The Deterministic Point of View,2,79,False
3.3 Linear Regression,2,82,False
3.4 Classification,2,85,False
Generative versus discriminative learning,3,88,False
"Supervised, semisupervised, and unsupervised learning",3,89,False
3.5 Biased Versus Unbiased Estimation,2,89,False
3.5.1 Biased or Unbiased Estimation?,3,90,False
3.6 The Cramér-Rao Lower Bound,2,92,False
3.7 Sufficient Statistic,2,95,False
3.8 Regularization,2,97,False
Inverse problems: Ill-conditioning and overfitting,3,99,False
3.9 The Bias-Variance Dilemma,2,102,False
3.9.1 Mean-Square Error Estimation,3,102,False
3.9.2 Bias-Variance Tradeoff,3,103,False
3.10 Maximum Likelihood Method,2,107,False
3.10.1 Linear Regression: The Nonwhite Gaussian Noise Case,3,109,False
3.11 Bayesian Inference,2,109,False
3.11.1 The Maximum A Posteriori Probability Estimation Method,3,113,False
3.12 Curse of Dimensionality,2,114,False
3.13 Validation,2,116,False
Cross-validation,3,117,False
3.14 Expected and Empirical Loss Functions,2,118,False
3.15 Nonparametric Modeling and Estimation,2,120,False
Problems,2,122,False
References,2,127,False
Chapter 4: Mean-Square Error Linear Estimation,1,130,True
4.1 Introduction,2,130,False
4.2 Mean-Square Error Linear Estimation: The Normal Equations,2,131,False
4.2.1 The Cost Function Surface,3,132,False
4.3 A Geometric Viewpoint: Orthogonality Condition,2,134,False
4.4 Extension to Complex-Valued Variables,2,136,False
4.4.1 Widely Linear Complex-Valued Estimation,3,138,False
Circularity conditions,4,139,False
4.4.2 Optimizing with Respect to Complex-Valued Variables: Wirtinger Calculus,3,141,False
4.5 Linear Filtering,2,143,False
4.6 MSE Linear Filtering: A Frequency Domain Point of View,2,145,False
Deconvolution: image deblurring,3,146,False
4.7 Some Typical Applications,2,149,False
4.7.1 Interference Cancellation,3,149,False
4.7.2 System Identification,3,150,False
4.7.3 Deconvolution: Channel Equalization,3,151,False
4.8 Algorithmic Aspects,2,157,False
Forward and backward MSE optimal predictors,3,159,False
4.8.1 The Lattice-Ladder Scheme,3,162,False
Orthogonality of the optimal backward errors,4,163,False
4.9 Mean-Square Error Estimation of Linear Models,2,165,False
4.9.1 The Gauss-Markov Theorem,3,168,False
4.9.2 Constrained Linear Estimation: The Beamforming Case,3,170,False
4.10 Time-Varying Statistics: Kalman Filtering,2,173,False
Problems,2,179,False
MATLAB Exercises,3,181,False
References,2,183,False
Chapter 5: Stochastic Gradient Descent: The LMS Algorithm and its Family,1,186,True
5.1 Introduction,2,187,False
5.2 The Steepest Descent Method,2,188,False
5.3 Application to the Mean-Square Error Cost Function,2,192,False
Time-varying step-sizes,3,199,False
5.3.1 The Complex-Valued Case,3,200,False
5.4 Stochastic Approximation,2,202,False
Application to the MSE linear estimation,3,203,False
5.5 The Least-Mean-Squares Adaptive Algorithm,2,204,False
5.5.1 Convergence and Steady-State Performance of the LMS in Stationary Environments,3,206,False
Convergence of the parameter error vector,4,206,False
5.5.2 Cumulative Loss Bounds,3,211,False
5.6 The Affine Projection Algorithm,2,213,False
Geometric interpretation of APA,3,214,False
Orthogonal projections,3,216,False
5.6.1 The Normalized LMS,3,218,False
5.7 The Complex-Valued Case,2,219,False
The widely linear LMS,3,220,False
The widely linear APA,3,220,False
5.8 Relatives of the LMS,2,221,False
The sign-error LMS,3,221,False
The least-mean-fourth (LMF) algorithm,3,221,False
Transform-domain LMS,3,222,False
5.9 Simulation Examples,2,224,False
5.10 Adaptive Decision Feedback Equalization,2,227,False
5.11 The Linearly Constrained LMS,2,229,False
5.12 Tracking Performance of the LMS in Nonstationary Environments,2,231,False
5.13 Distributed Learning: The Distributed LMS,2,233,False
5.13.1 Cooperation Strategies,3,234,False
Centralized networks,4,234,False
Decentralized networks,4,235,False
5.13.2 The Diffusion LMS,3,236,False
5.13.3 Convergence and Steady-State Performance: Some Highlights,3,243,False
5.13.4 Consensus-Based Distributed Schemes,3,245,False
5.14  A Case Study: Target Localization,2,247,False
5.15 Some Concluding Remarks: Consensus Matrix,2,248,False
Problems,2,249,False
MATLAB Exercises,3,251,False
References,2,252,False
Chapter 6: The Least-Squares Family,1,258,True
6.1 Introduction,2,259,False
6.2 Least-Squares Linear Regression: A Geometric Perspective,2,259,False
6.3 Statistical Properties of the LS Estimator,2,261,False
The LS estimator is unbiased,3,261,False
Covariance matrix of the LS estimator,3,261,False
The LS estimator is BLUE in the presence of white noise,3,262,False
The LS estimator achieves the Cramér-Rao bound for white Gaussian noise,3,263,False
Asymptotic distribution of the LS estimator,3,263,False
6.4 Orthogonalizing the Column Space of X: The SVD Method,2,264,False
Pseudo-inverse matrix and SVD,3,265,False
6.5 Ridge Regression,2,268,False
Principal components regression,3,269,False
6.6 The Recursive Least-Squares Algorithm,2,270,False
"Time-iterative computations of Φn, pn",3,271,False
Time updating of θn,3,272,False
6.7 Newton's Iterative Minimization Method,2,273,False
6.7.1 RLS and Newton's Method,3,276,False
6.8 Steady-State Performance of the RLS,2,277,False
6.9 Complex-Valued Data: The Widely Linear RLS,2,279,False
6.10 Computational Aspects of the LS Solution,2,280,False
Cholesky factorization,3,280,False
QR factorization,3,280,False
Fast RLS versions,3,281,False
6.11 The Coordinate and Cyclic Coordinate Descent Methods,2,283,False
6.12 Simulation Examples,2,284,False
6.13 Total-Least-Squares,2,286,False
Geometric interpretation of the total-least-squares method,3,291,False
Problems,2,293,False
MATLAB Exercises,3,296,False
References,2,297,False
Chapter 7: Classification: A Tour of the Classics,1,300,True
7.1 Introduction,2,300,False
7.2 Bayesian Classification,2,301,False
The Bayesian classifier minimizes the misclassification error,3,302,False
7.2.1 Average Risk,3,303,False
7.3 Decision (Hyper)Surfaces,2,305,False
7.3.1 The Gaussian Distribution Case,3,307,False
Minimum distance classifiers,4,310,False
7.4 The Naive Bayes Classifier,2,312,False
7.5 The Nearest Neighbor Rule,2,313,False
7.6 Logistic Regression,2,315,False
7.7 Fisher's Linear Discriminant,2,319,False
7.8 Classification Trees,2,325,False
7.9 Combining Classifiers,2,329,False
Experimental comparisons,3,329,False
Schemes for combining classifiers,3,330,False
7.10 The Boosting Approach,2,332,False
The AdaBoost algorithm,3,332,False
The log-loss function,3,336,False
7.11 Boosting Trees,2,338,False
7.12 A Case Study: Protein Folding Prediction,2,339,False
Protein folding prediction as a classification task,3,341,False
Classification of folding prediction via decision trees,3,343,False
Problems,2,343,False
MATLAB Exercises,3,345,False
References,2,348,False
Chapter 8: Parameter Learning: A Convex Analytic Path,1,352,True
8.1 Introduction,2,353,False
8.2 Convex Sets and Functions,2,354,False
8.2.1 Convex Sets,3,354,False
8.2.2 Convex Functions,3,355,False
8.3 Projections onto Convex Sets,2,358,False
8.3.1 Properties of Projections,3,362,False
8.4 Fundamental Theorem of Projections onto Convex Sets,2,366,False
8.5 A Parallel Version of POCS,2,369,False
8.6 From Convex Sets to Parameter Estimation and Machine Learning,2,370,False
8.6.1 Regression,3,370,False
8.6.2 Classification,3,372,False
8.7 Infinite Many Closed Convex Sets: The Online Learning Case,2,374,False
8.7.1 Convergence of APSM,3,376,False
Some practical hints,4,377,False
8.8 Constrained Learning,2,381,False
8.9 The Distributed APSM,2,382,False
8.10 Optimizing Nonsmooth Convex Cost Functions,2,383,False
8.10.1 Subgradients and Subdifferentials,3,384,False
8.10.2 Minimizing Nonsmooth Continuous Convex Loss Functions: The BatchLearning Case,3,387,False
The subgradient method,4,388,False
The generic projected subgradient scheme,4,390,False
The projected gradient method (PGM),4,390,False
Projected subgradient method,4,391,False
8.10.3 Online Learning for Convex Optimization,3,392,False
The PEGASOS algorithm,4,394,False
8.11 Regret Analysis,2,395,False
Regret analysis of the subgradient algorithm,3,397,False
8.12 Online Learning and Big Data Applications: A Discussion,2,399,False
"Approximation, estimation and optimization errors",3,399,False
Batch versus online learning,3,401,False
8.13 Proximal Operators,2,404,False
8.13.1 Properties of the Proximal Operator,3,407,False
8.13.2 Proximal Minimization,3,408,False
Resolvent of the subdifferential mapping,4,409,False
8.14 Proximal Splitting Methods for Optimization,2,410,False
The proximal forward-backward splitting operator,3,411,False
Alternating direction method of multipliers (ADMM),3,412,False
Mirror descent algorithms,3,413,False
Problems,2,414,False
MATLAB Exercises,3,417,False
8.15 Appendix to Chapter 8,2,418,False
References,2,423,False
Chapter 9: Sparsity-Aware Learning: Concepts and Theoretical Foundations,1,428,True
9.1 Introduction,2,428,False
9.2 Searching for a Norm,2,429,False
9.3 The Least Absolute Shrinkage and Selection Operator (LASSO),2,432,False
9.4 Sparse Signal Representation,2,436,False
9.5 In Search of the Sparsest Solution,2,440,False
The l2 norm minimizer,3,442,False
The l0 norm minimizer,3,442,False
The l1 norm minimizer,3,443,False
Characterization of the l1 norm minimizer,3,444,False
Geometric interpretation,3,444,False
9.6 Uniqueness of the l0 Minimizer,2,447,False
9.6.1 Mutual Coherence,3,449,False
9.7 Equivalence of l0 and l1 Minimizers: Sufficiency Conditions,2,451,False
9.7.1 Condition Implied by the Mutual Coherence Number,3,451,False
9.7.2 The Restricted Isometry Property (RIP),3,452,False
Constructing matrices that obey the RIP of order k,4,453,False
9.8 Robust Sparse Signal Recovery from Noisy Measurements,2,454,False
9.9 Compressed Sensing: The Glory of Randomness,2,455,False
Compressed sensing,3,456,False
9.9.1 Dimensionality Reduction and Stable Embeddings,3,458,False
9.9.2 Sub-Nyquist Sampling: Analog-to-Information Conversion,3,459,False
9.10 A Case Study: Image De-Noising,2,463,False
Problems,2,465,False
MATLAB Exercises,3,467,False
References,2,469,False
Chapter 10: Sparsity-Aware Learning: Algorithms and Applications ,1,474,True
10.1 Introduction,2,475,False
10.2 Sparsity-Promoting Algorithms,2,475,False
10.2.1 Greedy Algorithms,3,476,False
OMP can recover optimal sparse solutions: sufficiency condition,4,478,False
The LARS algorithm,4,479,False
Compressed sensing matching pursuit (CSMP) algorithms,4,480,False
10.2.2 Iterative Shrinkage/Thresholding (IST) Algorithms,3,481,False
10.2.3 Which Algorithm?: Some Practical Hints,3,487,False
10.3 Variations on the Sparsity-Aware Theme,2,492,False
10.4 Online Sparsity-Promoting Algorithms,2,500,False
10.4.1 LASSO: Asymptotic Performance,3,500,False
10.4.2 The Adaptive Norm-Weighted LASSO,3,502,False
10.4.3 Adaptive CoSaMP (AdCoSaMP) Algorithm,3,504,False
10.4.4 Sparse Adaptive Projection Subgradient Method (SpAPSM),3,505,False
Projection onto the weighted l1 ball,4,507,False
10.5 Learning Sparse Analysis Models,2,510,False
10.5.1 Compressed Sensing for Sparse Signal Representation in Coherent Dictionaries,3,512,False
10.5.2 Cosparsity,3,513,False
10.6 A Case Study: Time-Frequency Analysis,2,515,False
Gabor transform and frames,3,515,False
Time-frequency resolution,3,517,False
Gabor frames,3,518,False
Time-frequency analysis of echolocation signals emitted by bats,3,518,False
10.7 Appendix to Chapter 10: Some Hints from the Theory of Frames,2,522,False
Problems,2,525,False
MATLAB Exercises,3,526,False
References,2,527,False
Chapter 11: Learning in Reproducing Kernel Hilbert Spaces,1,534,True
11.1 Introduction,2,535,False
11.2 Generalized Linear Models,2,535,False
"11.3 Volterra, Wiener, and Hammerstein Models",2,536,False
11.4 Cover's Theorem: Capacity of a Space in Linear Dichotomies,2,539,False
11.5 Reproducing Kernel Hilbert Spaces,2,542,False
11.5.1 Some Properties and Theoretical Highlights,3,544,False
11.5.2 Examples of Kernel Functions,3,545,False
Constructing kernels,4,548,False
String kernels,4,549,False
11.6 Representer Theorem,2,550,False
11.6.1 Semiparametric Representer Theorem,3,552,False
11.6.2 Nonparametric Modeling: A Discussion,3,553,False
11.7 Kernel Ridge Regression,2,553,False
11.8 Support Vector Regression,2,555,False
11.8.1 The Linear ε-Insensitive Optimal Regression,3,556,False
The solution,4,558,False
Solving the optimization task,4,559,False
11.9 Kernel Ridge Regression Revisited,2,562,False
11.10 Optimal Margin Classification: Support Vector Machines,2,563,False
11.10.1 Linearly Separable Classes: Maximum Margin Classifiers ,3,565,False
The solution,4,568,False
The optimization task,4,569,False
11.10.2 Nonseparable Classes,3,570,False
The solution,4,571,False
The optimization task,4,571,False
11.10.3 Performance of SVMs and Applications,3,575,False
11.10.4 Choice of Hyperparameters,3,575,False
11.11 Computational Considerations,2,576,False
11.11.1 Multiclass Generalizations,3,577,False
11.12 Online Learning in RKHS,2,578,False
11.12.1 The Kernel LMS (KLMS),3,578,False
11.12.2 The Naive Online Rreg Minimization Algorithm (NORMA),3,581,False
Classification: the hinge loss function,4,583,False
Regression: the linear ε-insensitive loss function,4,584,False
Error bounds and convergence performance,4,584,False
11.12.3 The Kernel APSM Algorithm,3,585,False
Regression,4,585,False
Classification,4,586,False
11.13 Multiple Kernel Learning,2,592,False
11.14 Nonparametric Sparsity-Aware Learning: Additive Models,2,593,False
11.15 A Case Study: Authorship Identification,2,595,False
Problems,2,599,False
MATLAB Exercises,3,600,False
References,2,603,False
Chapter 12: Bayesian Learning: Inference and the EM Algorithm,1,610,True
12.1 Introduction,2,611,False
12.2 Regression: A Bayesian Perspective,2,611,False
12.2.1 The Maximum Likelihood Estimator,3,612,False
12.2.2 The MAP Estimator,3,613,False
12.2.3 The Bayesian Approach,3,614,False
12.3 The Evidence Function and Occam's Razor Rule,2,618,False
Laplacian approximation and the evidence function,3,621,False
12.4 Exponential Family of Probability Distributions,2,625,False
12.4.1 The Exponential Family and the Maximum Entropy Method,3,630,False
12.5 Latent Variables and the EM Algorithm,2,631,False
12.5.1 The Expectation-Maximization Algorithm,3,631,False
12.5.2 The EM Algorithm: A Lower Bound Maximization View,3,633,False
12.6 Linear Regression and the EM Algorithm,2,635,False
12.7 Gaussian Mixture Models,2,638,False
12.7.1 Gaussian Mixture Modeling and Clustering,3,642,False
12.8 Combining Learning Models: A Probabilistic Point of View,2,646,False
12.8.1 Mixing Linear Regression Models,3,647,False
Mixture of experts,4,649,False
Hierarchical mixture of experts,4,650,False
12.8.2 Mixing Logistic Regression Models,3,650,False
Problems,2,653,False
MATLAB Exercises,3,654,False
12.9 Appendix to Chapter 12,2,656,False
12.9.1 PDFs with Exponent of Quadratic Form,3,656,False
12.9.2 The Conditional from the Joint Gaussian pdf,3,657,False
12.9.3 The Marginal from the Joint Gaussian Pdf,3,658,False
12.9.4 The Posterior from Gaussian Prior and Conditional Pdfs,3,659,False
References,2,662,False
Chapter 13: Bayesian Learning: Approximate Inference and Nonparametric Models,1,664,True
13.1 Introduction,2,665,False
13.2 Variational Approximation in Bayesian Learning,2,665,False
The mean field approximation,3,666,False
13.2.1 The Case of the Exponential Family of Probability Distributions,3,669,False
13.3 A Variational Bayesian Approach to Linear Regression,2,670,False
Computation of the lower bound,3,675,False
13.4 A Variational Bayesian Approach to Gaussian Mixture Modeling,2,676,False
13.5 When Bayesian Inference Meets Sparsity,2,680,False
13.6 Sparse Bayesian Learning (SBL),2,682,False
13.6.1 The Spike and Slab Method,3,685,False
13.7 The Relevance Vector Machine Framework,2,686,False
13.7.1 Adopting the Logistic Regression Model for Classification,3,687,False
13.8 Convex Duality and Variational Bounds,2,691,False
13.9 Sparsity-Aware Regression: A Variational Bound Bayesian Path,2,696,False
13.10 Sparsity-Aware Learning: Some Concluding Remarks,2,700,False
Parameter identifiability and sparse Bayesian modeling,3,703,False
13.11 Expectation Propagation,2,704,False
Minimizing the KL divergence,3,705,False
